density,mix,model,RMSE_S,RMSE_R,RMSE_total,R2_S,R2_R,R2_total
20k,25-75,option1_transfer,2572.0802874893434,1821.0808560475987,1172.1240489598592,-99.85005915937612,-0.9108334430099867,0.41321230963479283
20k,25-75,option2_transfer,521.762963339316,1509.850847895295,2003.3360831345633,-3.1500526975987144,-0.3135072377329857,-0.7141209707722698
20k,25-75,competing_transfer,16262.38380861034,22059.778200279095,38205.41887811615,-4030.5822889729684,-279.39267172225243,-622.424366325023
20k,50-50,option1_transfer,2321.125399136156,1626.5992303903201,1222.9084957971838,-29.008171985030973,-1.291521358301161,0.2967975998290362
20k,50-50,option2_transfer,2284.31333562436,1712.1654470968047,1024.811254178747,-28.06388608614246,-1.5389505434616706,0.5061669041587521
20k,50-50,competing_transfer,2099.1070733417378,1662.9146590654932,1529.4369443236483,-23.54208842474071,-1.3949845052950733,-0.09990600544826278
20k,75-25,option1_transfer,2070.5957816724845,1026.4942995427557,1433.2584274284295,-11.136268491698956,-1.0061749042244155,-0.3289784447623385
20k,75-25,option2_transfer,2098.642525635826,1057.3408027407013,1419.7355408024032,-11.467272837195468,-1.1285590040829216,-0.3040187546336883
20k,75-25,competing_transfer,25060.145108347355,85225.21033404914,108852.78124706096,-1776.7131657401476,-13828.034911275463,-7664.632394547239
30k,25-75,option1_transfer,2338.9824664347466,1492.8120735750226,999.898462508484,-73.86736915719852,-0.21063189206499566,0.5934587567298273
30k,25-75,option2_transfer,561.7020950523531,1492.5727650652188,2008.520555638739,-3.3176827367460797,-0.21024377718104104,-0.6403834209756052
30k,25-75,competing_transfer,150187.90139449906,2908.9785035313093,151236.36450513147,-308679.0326231619,-3.5970884154435705,-9299.477958813191
30k,50-50,option1_transfer,2225.555535669495,1656.5697805993525,1082.1414938038172,-23.478359695978302,-1.389871530186916,0.46564205792795443
30k,50-50,option2_transfer,2200.548215483248,1743.5138618384758,889.3843318987566,-22.93135105747564,-1.6473166773572672,0.6390532654055734
30k,50-50,competing_transfer,3905.1729709348024,50581.76388419381,54312.45996439549,-74.36782628040754,-2227.1428273549504,-1345.05596182946
30k,75-25,option1_transfer,1996.4316187857899,1098.8112357558384,1284.188517833667,-10.144785225955912,-1.1480217211861348,0.010950790592378135
30k,75-25,option2_transfer,2012.5026588333385,1133.7066170294108,1253.2737212852624,-10.324935839023013,-1.2866192139371777,0.057997181842753265
30k,75-25,competing_transfer,10928.97284063437,4318.534899493057,15198.123926590897,-332.9808133352873,-32.17915740402187,-137.5288720521548
